station,stationNumber
Maryland & Independence Ave SW,31243
Braddock Rd Metro,31047
4th & W St NE,31500
New Jersey Ave & R St NW,31509
5th & Kennedy St NW,31403
Washington Adventist U / Flower Ave & Division St,32049
Columbia Pike & S Courthouse Rd,31053
Prince St & Union St,31041
Fairfax Dr & Wilson Blvd,31023
18th St & Pennsylvania Ave NW,31242
S Arlington Mill Dr & Campbell Ave,31060
Metro Center / 12th & G St NW,31230
8th & D St NW,31270
M St & Pennsylvania Ave NW,31246
14th & D St NW / Ronald Reagan Building,31231
14th St & New York Ave NW,31216
37th & O St NW / Georgetown University,31236
N Randolph St & Fairfax Dr,31034
Fallsgrove Dr & W Montgomery Ave,32016
Takoma Metro,31408
13th St & Eastern Ave,32006
N Nelson St & Lee Hwy,31092
Calvert St & Woodley Pl NW,31121
King St & Patrick St,31044
Iwo Jima Memorial/N Meade & 14th St N,31077
34th & Water St NW,31314
S Joyce & 16th St S,31091
34th St & Minnesota Ave SE,31709
8th & F St NW,31232
Potomac Greens Dr & Slaters Ln,31083
Wilson Blvd & N Oakland St,31033
12th & Irving St NE,31511
12th & Army Navy Dr,31008
Potomac Ave & 35th St S,31052
George Mason Dr & Wilson Blvd,31036
1st & Washington Hospital Center NW,31507
TJ Cmty Ctr / 2nd St & S Old Glebe Rd,31074
Nannie Helen Burroughs & Minnesota Ave NE,31704
6th St & Indiana Ave NW,31264
Pershing & N George Mason Dr,31069
Friendship Blvd & Willard Ave,32040
34th St & Wisconsin Ave NW,31226
18th & Eads St.,31001
15th & L St NW,31276
Philadelphia & Maple Ave,32010
14th St & Colorado Ave NW,31407
Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240
Jefferson Memorial,31249
36th & Calvert St NW / Glover Park,31304
Spring St & Second Ave,32050
Maple & Ritchie Ave,32011
Cordell & Norfolk Ave,32008
Monroe Ave & Leslie Ave,31087
Wisconsin Ave & Newark St NW,31302
23rd & Crystal Dr,31011
Aurora Hills Community Ctr/18th & Hayes St,31004
Wilson Blvd & N Uhle St,31017
N Quincy St & Glebe Rd,31035
Washington Blvd & 10th St N,31026
Old Georgetown Rd & Southwick St,32039
US Dept of State / Virginia Ave & 21st St NW,31220
14th & G St NW,31238
19th St & Constitution Ave NW,31235
Court House Metro / 15th & N Uhle St ,31089
10th St & Constitution Ave NW,31219
Bethesda Ave & Arlington Rd,32002
Taft St & E Gude Dr,32031
18th & M St NW,31221
6th & Water St SW / SW Waterfront,31609
Needwood Rd & Eagles Head Ct,32018
Georgetown Harbor / 30th St NW,31215
River Rd & Landy Ln,32046
Frederick Ave & Horners Ln,32009
Pleasant St & MLK Ave SE,31807
Veterans Pl & Pershing Dr ,32043
Key Blvd & N Quinn St,31027
17th & G St NW,31277
Silver Spring Metro/Colesville Rd & Wayne Ave,32012
Saint Asaph St & Pendleton  St,31043
Ward Circle / American University,31301
Harvard St & Adams Mill Rd NW,31112
26th & S Clark St,31012
27th & Crystal Dr,31009
M St & New Jersey Ave SE,31208
Columbia Pike & S Walter Reed Dr,31067
MLK Library/9th & G St NW,31274
Glebe Rd & 11th St N,31038
Wilson Blvd & N Edgewood St,31019
Army Navy Dr & S Nash St,31095
Pentagon City Metro / 12th & S Hayes St,31005
Rockville Metro East,32044
Arlington Blvd & Fillmore St,31070
Bethesda Metro,32048
Potomac Ave & 8th St SE,31635
Lee Hwy & N Kirkwood Rd,31094
Offutt Ln & Chevy Chase Dr,32029
Battery Ln & Trolley Trail,32027
13th St & New York Ave NW,31227
Good Hope Rd & 14th St SE,31803
Norfolk Ave & Fairmont St,32000
31st & Woodrow St S,31072
12th & Newton St NE,31501
20th & L St NW,31250
Lee Hwy & N Cleveland St,31079
N Veitch & Key Blvd,31028
