year,month,day,year,index,max_temp,min_temp,wind_speed,wind_temp,rain,hum,visibility,clouds,chaleur_index,rosee,pressure,sunrise,sunset,holiday,weekday,workday,avg_temp,string_date,atemp,wkday,casual,registered,cnt,wkday_sin,wkday_cos,sunrise_sin,sunrise_cos,sunset_sin,sunset_cos,mnth_sin,mnth_cos,light,missing_rain,mean_rain
2014,11,25,2014,2014-11-25,15.0,9.0,2.7777777777777777,8.0,0.0,0.76,10.0,20.0,15.0,11.0,1022.0,7.0,16.0,0.0,1.0,1.0,12.0,2014/11/25,12.791819904812513,1,888,7316,8204,0.7818314824680298,0.6234898018587336,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.866025403784439,0.49999999999999933,9.0,False,2.96
2014,11,26,2014,2014-11-26,8.0,2.0,6.9444444444444455,-3.0,21.0,1.0,7.25,76.0,8.0,4.0,1021.0,7.0,16.0,0.0,2.0,1.0,5.0,2014/11/26,3.427441595135061,2,53,1394,1447,0.9749279121818236,-0.22252093395631434,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.866025403784439,0.49999999999999933,9.0,False,2.96
2014,11,27,2014,2014-11-27,7.0,1.0,2.5,1.0,1.0,0.99,4.25,74.0,4.0,4.0,1021.0,7.0,16.0,1.0,3.0,0.0,4.0,2014/11/27,4.277123422060241,3,432,1439,1871,0.43388373911755823,-0.900968867902419,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.866025403784439,0.49999999999999933,9.0,False,2.96
2014,11,28,2014,2014-11-28,3.0,-2.0,5.5555555555555545,-7.0,0.0,0.86,10.0,16.0,3.0,0.0,1026.0,7.0,16.0,0.0,4.0,1.0,0.5,2014/11/28,-1.26790538150768,4,521,2126,2647,-0.433883739117558,-0.9009688679024191,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.866025403784439,0.49999999999999933,9.0,False,2.96
2014,11,29,2014,2014-11-29,7.0,0.0,5.277777777777779,-4.0,2.96,0.72,10.0,37.0,7.0,0.0,1027.0,7.0,16.0,0.0,5.0,1.0,3.5,2014/11/29,2.268963723365476,5,1010,2686,3696,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.866025403784439,0.49999999999999933,9.0,True,2.96
2014,11,30,2014,2014-11-30,16.0,2.0,6.111111111111112,-2.0,0.0,0.88,10.0,28.0,13.0,7.0,1023.0,7.0,16.0,0.0,6.0,0.0,9.0,2014/11/30,8.291349466927056,6,973,4051,5024,-0.7818314824680299,0.6234898018587334,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.866025403784439,0.49999999999999933,9.0,False,2.96
2014,12,1,2014,2014-12-01,17.0,9.0,4.166666666666667,7.0,1.0,0.94,9.0,48.0,17.0,12.0,1032.0,7.0,16.0,0.0,0.0,0.0,13.0,2014/12/01,13.389657562813998,0,460,5922,6382,0.0,1.0,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,9.0,False,4.076923076923077
2014,12,2,2014,2014-12-02,5.0,2.0,5.277777777777779,-2.0,7.0,0.88,5.875,81.0,5.0,4.0,1037.0,7.0,16.0,0.0,1.0,1.0,3.5,2014/12/02,2.268963723365476,1,57,2625,2682,0.7818314824680298,0.6234898018587336,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,9.0,False,4.076923076923077
2014,12,3,2014,2014-12-03,14.0,7.0,5.833333333333332,4.0,1.0,0.97,9.0,52.0,14.0,12.0,1026.0,7.0,16.0,0.0,2.0,1.0,10.5,2014/12/03,10.089529902320182,2,223,6724,6947,0.9749279121818236,-0.22252093395631434,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,9.0,False,4.076923076923077
2014,12,4,2014,2014-12-04,8.0,1.0,2.7777777777777777,-3.0,1.0,0.85,10.0,38.0,8.0,0.0,1033.0,7.0,16.0,0.0,3.0,1.0,4.5,2014/12/04,4.628731874252352,3,345,7046,7391,0.43388373911755823,-0.900968867902419,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,9.0,False,4.076923076923077
