LOG FILE : Scraping Weather Data 
http://www.historique-meteo.net/amerique-du-nord/etats-unis/washington-dc/

Date : 2011/05/19 || Status : 200
Date : 2011/05/20 || Status : 200
Date : 2011/05/21 || Status : 200
Date : 2011/05/22 || Status : 200
Date : 2011/05/23 || Status : 200
Date : 2011/05/24 || Status : 200
Date : 2011/05/25 || Status : 200
Date : 2011/05/26 || Status : 200
Date : 2011/05/27 || Status : 200
Date : 2011/05/28 || Status : 200
Date : 2011/05/29 || Status : 200
Date : 2011/05/30 || Status : 200
Date : 2011/05/31 || Status : 200
Date : 2011/06/01 || Status : 200
Date : 2011/06/02 || Status : 200
Date : 2011/06/03 || Status : 200
Date : 2011/06/04 || Status : 200
Date : 2011/06/05 || Status : 200
Date : 2011/06/06 || Status : 200
Date : 2011/06/07 || Status : 200
Date : 2011/06/08 || Status : 200
Date : 2011/06/09 || Status : 200
Date : 2011/06/10 || Status : 200
Date : 2011/06/11 || Status : 200
Date : 2011/06/12 || Status : 200
Date : 2011/06/13 || Status : 200
Date : 2011/06/14 || Status : 200
Date : 2011/06/15 || Status : 200
Date : 2011/06/16 || Status : 200
Date : 2011/06/17 || Status : 200
Date : 2011/06/18 || Status : 200
Date : 2011/06/19 || Status : 200
Date : 2011/06/20 || Status : 200
Date : 2011/06/21 || Status : 200
Date : 2011/06/22 || Status : 200
Date : 2011/06/23 || Status : 200
Date : 2011/06/24 || Status : 200
Date : 2011/06/25 || Status : 200
Date : 2011/06/26 || Status : 200
Date : 2011/06/27 || Status : 200
Date : 2011/06/28 || Status : 200
Date : 2011/06/29 || Status : 200
Date : 2011/06/30 || Status : 200
Date : 2011/07/01 || Status : 200
Date : 2011/07/02 || Status : 200
Date : 2011/07/03 || Status : 200
Date : 2011/07/04 || Status : 200
Date : 2011/07/05 || Status : 200
Date : 2011/07/06 || Status : 200
Date : 2011/07/07 || Status : 200
Date : 2011/07/08 || Status : 200
Date : 2011/07/09 || Status : 200
Date : 2011/07/10 || Status : 200
Date : 2011/07/11 || Status : 200
Date : 2011/07/12 || Status : 200
Date : 2011/07/13 || Status : 200
Date : 2011/07/14 || Status : 200
Date : 2011/07/15 || Status : 200
Date : 2011/07/16 || Status : 200
Date : 2011/07/17 || Status : 200
Date : 2011/07/18 || Status : 200
Date : 2011/07/19 || Status : 200
Date : 2011/07/20 || Status : 200
Date : 2011/07/21 || Status : 200
Date : 2011/07/22 || Status : 200
Date : 2011/07/23 || Status : 200
Date : 2011/07/24 || Status : 200
Date : 2011/07/25 || Status : 200
Date : 2011/07/26 || Status : 200
Date : 2011/07/27 || Status : 200
Date : 2011/07/28 || Status : 200
Date : 2011/07/29 || Status : 200
Date : 2011/07/30 || Status : 200
Date : 2011/07/31 || Status : 200
Date : 2011/08/01 || Status : 200
Date : 2011/08/02 || Status : 200
Date : 2011/08/03 || Status : 200
Date : 2011/08/04 || Status : 200
Date : 2011/08/05 || Status : 200
Date : 2011/08/06 || Status : 200
Date : 2011/08/07 || Status : 200
Date : 2011/08/08 || Status : 200
Date : 2011/08/09 || Status : 200
Date : 2011/08/10 || Status : 200
Date : 2011/08/11 || Status : 200
Date : 2011/08/12 || Status : 200
Date : 2011/08/13 || Status : 200
Date : 2011/08/14 || Status : 200
Date : 2011/08/15 || Status : 200
Date : 2011/08/16 || Status : 200
Date : 2011/08/17 || Status : 200
Date : 2011/08/18 || Status : 200
Date : 2011/08/19 || Status : 200
Date : 2011/08/20 || Status : 200
Date : 2011/08/21 || Status : 200
Date : 2011/08/22 || Status : 200
Date : 2011/08/23 || Status : 200
Date : 2011/08/24 || Status : 200
Date : 2011/08/25 || Status : 200
Date : 2011/08/26 || Status : 200
Date : 2011/08/27 || Status : 200
Date : 2011/08/28 || Status : 200
Date : 2011/08/29 || Status : 200
Date : 2011/08/30 || Status : 200
Date : 2011/08/31 || Status : 200
Date : 2011/09/01 || Status : 200
Date : 2011/09/02 || Status : 200
Date : 2011/09/03 || Status : 200
Date : 2011/09/04 || Status : 200
Date : 2011/09/05 || Status : 200
Date : 2011/09/06 || Status : 200
Date : 2011/09/07 || Status : 200
Date : 2011/09/08 || Status : 200
Date : 2011/09/09 || Status : 200
Date : 2011/09/10 || Status : 200
Date : 2011/09/11 || Status : 200
Date : 2011/09/12 || Status : 200
Date : 2011/09/13 || Status : 200
Date : 2011/09/14 || Status : 200
Date : 2011/09/15 || Status : 200
Date : 2011/09/16 || Status : 200
Date : 2011/09/17 || Status : 200
Date : 2011/09/18 || Status : 200
Date : 2011/09/19 || Status : 200
